mission_id,freelancer_id,skill_match_score,has_worked_with_client_before,times_worked_with_client,was_preselected,price,industry,label
32,18,0.75,true,2,false,2697,Tech,1
32,2,0,false,0,false,2697,Tech,0
32,3,0.25,false,0,false,2697,Tech,0
32,4,0.25,false,0,false,2697,Tech,0
33,9,1,true,1,false,1965,Marketing,1
33,2,0,false,0,false,1965,Marketing,0
33,3,0,true,1,false,1965,Marketing,0
33,4,0.5,false,0,false,1965,Marketing,0
34,11,0.5,true,2,false,2473,Tech,1
34,2,0,true,1,false,2473,Tech,0
34,3,0,false,0,false,2473,Tech,0
34,4,0,false,0,false,2473,Tech,0
35,6,0.6,true,1,false,3514,Marketing,1
35,2,0,false,0,false,3514,Marketing,0
35,3,0.2,false,0,false,3514,Marketing,0
35,4,0.2,false,0,false,3514,Marketing,0
36,10,1,true,1,false,4217,Tech,1
36,2,0,true,1,false,4217,Tech,0
36,3,0.5,false,0,false,4217,Tech,0
36,4,0.5,false,0,false,4217,Tech,0
37,9,1,true,2,false,2535,Marketing,1
37,2,0,false,0,false,2535,Marketing,0
37,3,0.5,true,2,false,2535,Marketing,0
37,4,0,false,0,false,2535,Marketing,0
38,8,0.4,true,1,false,572,Tech,1
38,2,0.2,true,1,false,572,Tech,0
38,3,0.2,false,0,false,572,Tech,0
38,4,0,false,0,false,572,Tech,0
39,2,0.5,true,1,false,1728,Marketing,1
39,3,0,false,0,false,1728,Marketing,0
39,4,0,false,0,false,1728,Marketing,0
39,5,0.5,false,0,false,1728,Marketing,0
40,3,0.75,true,1,false,2942,Tech,1
40,2,0.25,true,1,false,2942,Tech,0
40,4,0.25,false,0,false,2942,Tech,0
40,5,0.25,false,0,false,2942,Tech,0
41,6,0.75,true,1,false,2804,Marketing,1
41,2,0.25,false,0,false,2804,Marketing,0
41,3,0.25,true,1,false,2804,Marketing,0
41,4,0,false,0,false,2804,Marketing,0
